"Data, valanda";"Kiekis, kWh"
"2026-03-01T11:15:00+02:00";"0.058"
"2026-03-01T11:30:00+02:00";"0.060"
"2026-03-01T11:45:00+02:00";"0.062"
"2026-03-01T12:00:00+02:00";"0.067"
"2026-03-01T12:15:00+02:00";"0.066"
"2026-03-01T12:30:00+02:00";"0.062"
"2026-03-01T12:45:00+02:00";"0.067"
"2026-03-01T13:00:00+02:00";"0.068"
"2026-03-01T13:15:00+02:00";"0.064"
"2026-03-01T13:30:00+02:00";"0.063"
"2026-03-01T13:45:00+02:00";"0.065"
"2026-03-01T14:00:00+02:00";"0.062"
"2026-03-01T14:15:00+02:00";"0.053"
"2026-03-01T14:30:00+02:00";"0.059"
"2026-03-01T14:45:00+02:00";"0.061"
"2026-03-01T15:00:00+02:00";"0.062"
"2026-03-01T15:15:00+02:00";"0.062"
"2026-03-01T15:30:00+02:00";"0.055"
"2026-03-01T15:45:00+02:00";"0.055"
"2026-03-01T16:00:00+02:00";"0.056"
"2026-03-01T16:15:00+02:00";"0.061"
"2026-03-01T16:30:00+02:00";"0.124"
"2026-03-01T16:45:00+02:00";"0.409"
"2026-03-01T17:00:00+02:00";"0.287"
"2026-03-01T17:15:00+02:00";"0.153"
"2026-03-01T17:30:00+02:00";"0.072"
"2026-03-01T17:45:00+02:00";"0.362"
"2026-03-01T18:00:00+02:00";"0.145"
"2026-03-01T18:15:00+02:00";"0.071"
"2026-03-01T18:30:00+02:00";"0.064"
"2026-03-01T18:45:00+02:00";"0.095"
"2026-03-01T19:00:00+02:00";"0.085"
"2026-03-01T19:15:00+02:00";"0.085"
"2026-03-01T19:30:00+02:00";"0.080"
"2026-03-01T19:45:00+02:00";"0.079"
"2026-03-01T20:00:00+02:00";"0.084"
"2026-03-01T20:15:00+02:00";"0.084"
"2026-03-01T20:30:00+02:00";"0.085"
"2026-03-01T20:45:00+02:00";"0.080"
"2026-03-01T21:00:00+02:00";"0.081"
"2026-03-01T21:15:00+02:00";"0.080"
"2026-03-01T21:30:00+02:00";"0.084"
"2026-03-01T21:45:00+02:00";"0.086"
"2026-03-01T22:00:00+02:00";"0.089"
"2026-03-01T22:15:00+02:00";"0.085"
"2026-03-01T22:30:00+02:00";"0.084"
"2026-03-01T22:45:00+02:00";"0.074"
"2026-03-01T23:00:00+02:00";"0.068"
"2026-03-01T23:15:00+02:00";"0.066"
"2026-03-01T23:30:00+02:00";"0.063"
"2026-03-01T23:45:00+02:00";"0.061"
"2026-03-02T00:00:00+02:00";"0.064"
"2026-03-02T00:15:00+02:00";"0.062"
"2026-03-02T00:30:00+02:00";"0.068"
"2026-03-02T00:45:00+02:00";"0.059"
"2026-03-02T01:00:00+02:00";"0.059"
"2026-03-02T01:15:00+02:00";"0.061"
"2026-03-02T01:30:00+02:00";"0.061"
"2026-03-02T01:45:00+02:00";"0.060"
"2026-03-02T02:00:00+02:00";"0.058"
"2026-03-02T02:15:00+02:00";"0.060"
"2026-03-02T02:30:00+02:00";"0.060"
"2026-03-02T02:45:00+02:00";"0.060"
"2026-03-02T03:00:00+02:00";"0.067"
"2026-03-02T03:15:00+02:00";"0.067"
"2026-03-02T03:30:00+02:00";"0.066"
"2026-03-02T03:45:00+02:00";"0.066"
"2026-03-02T04:00:00+02:00";"0.059"
"2026-03-02T04:15:00+02:00";"0.059"
"2026-03-02T04:30:00+02:00";"0.061"
"2026-03-02T04:45:00+02:00";"0.066"
"2026-03-02T05:00:00+02:00";"0.065"
"2026-03-02T05:15:00+02:00";"0.060"
"2026-03-02T05:30:00+02:00";"0.061"
"2026-03-02T05:45:00+02:00";"0.060"
"2026-03-02T06:00:00+02:00";"0.061"
"2026-03-02T06:15:00+02:00";"0.059"
"2026-03-02T06:30:00+02:00";"0.073"
"2026-03-02T06:45:00+02:00";"0.061"
"2026-03-02T07:00:00+02:00";"0.056"
"2026-03-02T07:15:00+02:00";"0.062"
"2026-03-02T07:30:00+02:00";"0.062"
"2026-03-02T07:45:00+02:00";"0.063"
"2026-03-02T08:00:00+02:00";"0.057"
"2026-03-02T08:15:00+02:00";"0.058"
"2026-03-02T08:30:00+02:00";"0.060"
"2026-03-02T08:45:00+02:00";"0.065"
"2026-03-02T09:00:00+02:00";"0.065"
"2026-03-02T09:15:00+02:00";"0.059"
"2026-03-02T09:30:00+02:00";"0.059"
"2026-03-02T09:45:00+02:00";"0.061"
"2026-03-02T10:00:00+02:00";"0.064"
"2026-03-02T10:15:00+02:00";"0.065"
"2026-03-02T10:30:00+02:00";"0.064"
"2026-03-02T10:45:00+02:00";"0.063"
"2026-03-02T11:00:00+02:00";"0.064"
"2026-03-02T11:15:00+02:00";"0.065"
"2026-03-02T11:30:00+02:00";"0.068"
"2026-03-02T11:45:00+02:00";"0.071"
"2026-03-02T12:00:00+02:00";"0.074"
"2026-03-02T12:15:00+02:00";"0.081"
"2026-03-02T12:30:00+02:00";"0.072"
"2026-03-02T12:45:00+02:00";"0.071"
"2026-03-02T13:00:00+02:00";"0.063"
"2026-03-02T13:15:00+02:00";"0.060"
"2026-03-02T13:30:00+02:00";"0.060"
"2026-03-02T13:45:00+02:00";"0.062"
"2026-03-02T14:00:00+02:00";"0.058"
"2026-03-02T14:15:00+02:00";"0.075"
"2026-03-02T14:30:00+02:00";"0.149"
"2026-03-02T14:45:00+02:00";"0.087"
"2026-03-02T15:00:00+02:00";"0.239"
"2026-03-02T15:15:00+02:00";"0.333"
"2026-03-02T15:30:00+02:00";"0.647"
"2026-03-02T15:45:00+02:00";"0.438"
"2026-03-02T16:00:00+02:00";"0.374"
"2026-03-02T16:15:00+02:00";"0.353"
"2026-03-02T16:30:00+02:00";"0.332"
"2026-03-02T16:45:00+02:00";"0.366"
"2026-03-02T17:00:00+02:00";"0.371"
"2026-03-02T17:15:00+02:00";"0.213"
"2026-03-02T17:30:00+02:00";"0.161"
"2026-03-02T17:45:00+02:00";"0.275"
"2026-03-02T18:00:00+02:00";"0.405"
"2026-03-02T18:15:00+02:00";"0.372"
"2026-03-02T18:30:00+02:00";"0.314"
"2026-03-02T18:45:00+02:00";"0.192"
"2026-03-02T19:00:00+02:00";"0.162"
"2026-03-02T19:15:00+02:00";"0.212"
"2026-03-02T19:30:00+02:00";"0.207"
"2026-03-02T19:45:00+02:00";"0.078"
"2026-03-02T20:00:00+02:00";"0.092"
"2026-03-02T20:15:00+02:00";"0.177"
"2026-03-02T20:30:00+02:00";"0.190"
"2026-03-02T20:45:00+02:00";"0.205"
"2026-03-02T21:00:00+02:00";"0.163"
"2026-03-02T21:15:00+02:00";"0.082"
"2026-03-02T21:30:00+02:00";"0.064"
"2026-03-02T21:45:00+02:00";"0.055"
"2026-03-02T22:00:00+02:00";"0.053"
"2026-03-02T22:15:00+02:00";"0.055"
"2026-03-02T22:30:00+02:00";"0.056"
"2026-03-02T22:45:00+02:00";"0.052"
"2026-03-02T23:00:00+02:00";"0.051"
"2026-03-02T23:15:00+02:00";"0.043"
"2026-03-02T23:30:00+02:00";"0.044"
"2026-03-02T23:45:00+02:00";"0.059"
"2026-03-03T00:00:00+02:00";"0.058"
"2026-03-03T00:15:00+02:00";"0.064"
"2026-03-03T00:30:00+02:00";"0.057"
"2026-03-03T00:45:00+02:00";"0.051"
"2026-03-03T01:00:00+02:00";"0.072"
"2026-03-03T01:15:00+02:00";"0.055"
"2026-03-03T01:30:00+02:00";"0.058"
"2026-03-03T01:45:00+02:00";"0.062"
"2026-03-03T02:00:00+02:00";"0.059"
"2026-03-03T02:15:00+02:00";"0.057"
"2026-03-03T02:30:00+02:00";"0.067"
"2026-03-03T02:45:00+02:00";"0.061"
"2026-03-03T03:00:00+02:00";"0.060"
"2026-03-03T03:15:00+02:00";"0.056"
"2026-03-03T03:30:00+02:00";"0.052"
"2026-03-03T03:45:00+02:00";"0.059"
"2026-03-03T04:00:00+02:00";"0.061"
"2026-03-03T04:15:00+02:00";"0.065"
"2026-03-03T04:30:00+02:00";"0.061"
"2026-03-03T04:45:00+02:00";"0.055"
"2026-03-03T05:00:00+02:00";"0.057"
"2026-03-03T05:15:00+02:00";"0.055"
"2026-03-03T05:30:00+02:00";"0.060"
"2026-03-03T05:45:00+02:00";"0.054"
"2026-03-03T06:00:00+02:00";"0.054"
"2026-03-03T06:15:00+02:00";"0.049"
"2026-03-03T06:30:00+02:00";"0.050"
"2026-03-03T06:45:00+02:00";"0.060"
"2026-03-03T07:00:00+02:00";"0.057"
"2026-03-03T07:15:00+02:00";"0.062"
"2026-03-03T07:30:00+02:00";"0.062"
"2026-03-03T07:45:00+02:00";"0.061"
"2026-03-03T08:00:00+02:00";"0.061"
"2026-03-03T08:15:00+02:00";"0.062"
"2026-03-03T08:30:00+02:00";"0.080"
"2026-03-03T08:45:00+02:00";"0.303"
"2026-03-03T09:00:00+02:00";"0.067"
"2026-03-03T09:15:00+02:00";"0.063"
"2026-03-03T09:30:00+02:00";"0.067"
"2026-03-03T09:45:00+02:00";"0.069"
"2026-03-03T10:00:00+02:00";"0.078"
"2026-03-03T10:15:00+02:00";"0.083"
"2026-03-03T10:30:00+02:00";"0.088"
"2026-03-03T10:45:00+02:00";"0.081"
"2026-03-03T11:00:00+02:00";"0.096"
"2026-03-03T11:15:00+02:00";"0.139"
"2026-03-03T11:30:00+02:00";"0.138"
"2026-03-03T11:45:00+02:00";"0.143"
"2026-03-03T12:00:00+02:00";"0.145"
"2026-03-03T12:15:00+02:00";"0.129"
"2026-03-03T12:30:00+02:00";"0.078"
"2026-03-03T12:45:00+02:00";"0.077"
"2026-03-03T13:00:00+02:00";"0.074"
"2026-03-03T13:15:00+02:00";"0.063"
"2026-03-03T13:30:00+02:00";"0.065"
"2026-03-03T13:45:00+02:00";"0.131"
"2026-03-03T14:00:00+02:00";"0.223"
"2026-03-03T14:15:00+02:00";"0.427"
"2026-03-03T14:30:00+02:00";"0.292"
"2026-03-03T14:45:00+02:00";"0.584"
"2026-03-03T15:00:00+02:00";"0.211"
"2026-03-03T15:15:00+02:00";"0.139"
"2026-03-03T15:30:00+02:00";"0.149"
"2026-03-03T15:45:00+02:00";"0.147"
"2026-03-03T16:00:00+02:00";"0.147"
"2026-03-03T16:15:00+02:00";"0.078"
"2026-03-03T16:30:00+02:00";"0.069"
"2026-03-03T16:45:00+02:00";"0.054"
"2026-03-03T17:00:00+02:00";"0.060"
"2026-03-03T17:15:00+02:00";"0.240"
"2026-03-03T17:30:00+02:00";"0.079"
"2026-03-03T17:45:00+02:00";"0.086"
"2026-03-03T18:00:00+02:00";"0.081"
"2026-03-03T18:15:00+02:00";"0.086"
"2026-03-03T18:30:00+02:00";"0.205"
"2026-03-03T18:45:00+02:00";"0.085"
"2026-03-03T19:00:00+02:00";"0.086"
"2026-03-03T19:15:00+02:00";"0.086"
"2026-03-03T19:30:00+02:00";"0.100"
"2026-03-03T19:45:00+02:00";"0.091"
"2026-03-03T20:00:00+02:00";"0.098"
"2026-03-03T20:15:00+02:00";"0.087"
"2026-03-03T20:30:00+02:00";"0.097"
"2026-03-03T20:45:00+02:00";"0.079"
"2026-03-03T21:00:00+02:00";"0.064"
"2026-03-03T21:15:00+02:00";"0.052"
"2026-03-03T21:30:00+02:00";"0.047"
"2026-03-03T21:45:00+02:00";"0.050"
"2026-03-03T22:00:00+02:00";"0.059"
"2026-03-03T22:15:00+02:00";"0.065"
"2026-03-03T22:30:00+02:00";"0.065"
"2026-03-03T22:45:00+02:00";"0.070"
"2026-03-03T23:00:00+02:00";"0.066"
"2026-03-03T23:15:00+02:00";"0.060"
"2026-03-03T23:30:00+02:00";"0.055"
"2026-03-03T23:45:00+02:00";"0.057"
"2026-03-04T00:00:00+02:00";"0.060"
"2026-03-04T00:15:00+02:00";"0.057"
"2026-03-04T00:30:00+02:00";"0.056"
"2026-03-04T00:45:00+02:00";"0.053"
"2026-03-04T01:00:00+02:00";"0.051"
"2026-03-04T01:15:00+02:00";"0.053"
"2026-03-04T01:30:00+02:00";"0.060"
"2026-03-04T01:45:00+02:00";"0.052"
"2026-03-04T02:00:00+02:00";"0.052"
"2026-03-04T02:15:00+02:00";"0.065"
"2026-03-04T02:30:00+02:00";"0.056"
"2026-03-04T02:45:00+02:00";"0.059"
"2026-03-04T03:00:00+02:00";"0.062"
"2026-03-04T03:15:00+02:00";"0.061"
"2026-03-04T03:30:00+02:00";"0.058"
"2026-03-04T03:45:00+02:00";"0.057"
"2026-03-04T04:00:00+02:00";"0.062"
"2026-03-04T04:15:00+02:00";"0.063"
"2026-03-04T04:30:00+02:00";"0.060"
"2026-03-04T04:45:00+02:00";"0.057"
"2026-03-04T05:00:00+02:00";"0.054"
"2026-03-04T05:15:00+02:00";"0.051"
"2026-03-04T05:30:00+02:00";"0.051"
"2026-03-04T05:45:00+02:00";"0.052"
"2026-03-04T06:00:00+02:00";"0.051"
"2026-03-04T06:15:00+02:00";"0.053"
"2026-03-04T06:30:00+02:00";"0.056"
"2026-03-04T06:45:00+02:00";"0.062"
"2026-03-04T07:00:00+02:00";"0.073"
"2026-03-04T07:15:00+02:00";"0.051"
"2026-03-04T07:30:00+02:00";"0.058"
"2026-03-04T07:45:00+02:00";"0.055"
"2026-03-04T08:00:00+02:00";"0.063"
"2026-03-04T08:15:00+02:00";"0.066"
"2026-03-04T08:30:00+02:00";"0.063"
"2026-03-04T08:45:00+02:00";"0.054"
"2026-03-04T09:00:00+02:00";"0.056"
"2026-03-04T09:15:00+02:00";"0.056"
"2026-03-04T09:30:00+02:00";"0.055"
"2026-03-04T09:45:00+02:00";"0.061"
"2026-03-04T10:00:00+02:00";"0.055"
"2026-03-04T10:15:00+02:00";"0.052"
"2026-03-04T10:30:00+02:00";"0.080"
"2026-03-04T10:45:00+02:00";"0.199"
"2026-03-04T11:00:00+02:00";"0.075"
"2026-03-04T11:15:00+02:00";"0.075"
"2026-03-04T11:30:00+02:00";"0.076"
"2026-03-04T11:45:00+02:00";"0.072"
"2026-03-04T12:00:00+02:00";"0.054"
"2026-03-04T12:15:00+02:00";"0.049"
"2026-03-04T12:30:00+02:00";"0.047"
"2026-03-04T12:45:00+02:00";"0.254"
"2026-03-04T13:00:00+02:00";"0.325"
"2026-03-04T13:15:00+02:00";"0.297"
"2026-03-04T13:30:00+02:00";"0.371"
"2026-03-04T13:45:00+02:00";"0.059"
"2026-03-04T14:00:00+02:00";"0.063"
"2026-03-04T14:15:00+02:00";"0.071"
"2026-03-04T14:30:00+02:00";"0.641"
"2026-03-04T14:45:00+02:00";"0.151"
"2026-03-04T15:00:00+02:00";"0.132"
"2026-03-04T15:15:00+02:00";"0.502"
"2026-03-04T15:30:00+02:00";"0.537"
"2026-03-04T15:45:00+02:00";"0.649"
"2026-03-04T16:00:00+02:00";"0.582"
"2026-03-04T16:15:00+02:00";"0.310"
"2026-03-04T16:30:00+02:00";"0.232"
"2026-03-04T16:45:00+02:00";"0.105"
"2026-03-04T17:00:00+02:00";"0.272"
"2026-03-04T17:15:00+02:00";"0.089"
"2026-03-04T17:30:00+02:00";"0.100"
"2026-03-04T17:45:00+02:00";"0.099"
"2026-03-04T18:00:00+02:00";"0.108"
"2026-03-04T18:15:00+02:00";"0.095"
"2026-03-04T18:30:00+02:00";"0.160"
"2026-03-04T18:45:00+02:00";"0.066"
"2026-03-04T19:00:00+02:00";"0.089"
"2026-03-04T19:15:00+02:00";"0.085"
"2026-03-04T19:30:00+02:00";"0.085"
"2026-03-04T19:45:00+02:00";"0.083"
"2026-03-04T20:00:00+02:00";"0.076"
"2026-03-04T20:15:00+02:00";"0.094"
"2026-03-04T20:30:00+02:00";"0.095"
"2026-03-04T20:45:00+02:00";"0.084"
"2026-03-04T21:00:00+02:00";"0.084"
"2026-03-04T21:15:00+02:00";"0.083"
"2026-03-04T21:30:00+02:00";"0.056"
"2026-03-04T21:45:00+02:00";"0.062"
"2026-03-04T22:00:00+02:00";"0.070"
"2026-03-04T22:15:00+02:00";"0.078"
"2026-03-04T22:30:00+02:00";"0.068"
"2026-03-04T22:45:00+02:00";"0.069"
"2026-03-04T23:00:00+02:00";"0.065"
"2026-03-04T23:15:00+02:00";"0.067"
"2026-03-04T23:30:00+02:00";"0.064"
"2026-03-04T23:45:00+02:00";"0.056"
"2026-03-05T00:00:00+02:00";"0.056"
"2026-03-05T00:15:00+02:00";"0.058"
"2026-03-05T00:30:00+02:00";"0.055"
"2026-03-05T00:45:00+02:00";"0.052"
"2026-03-05T01:00:00+02:00";"0.053"
"2026-03-05T01:15:00+02:00";"0.059"
"2026-03-05T01:30:00+02:00";"0.056"
"2026-03-05T01:45:00+02:00";"0.050"
"2026-03-05T02:00:00+02:00";"0.057"
"2026-03-05T02:15:00+02:00";"0.060"
"2026-03-05T02:30:00+02:00";"0.058"
"2026-03-05T02:45:00+02:00";"0.060"
"2026-03-05T03:00:00+02:00";"0.061"
"2026-03-05T03:15:00+02:00";"0.058"
"2026-03-05T03:30:00+02:00";"0.058"
"2026-03-05T03:45:00+02:00";"0.050"
"2026-03-05T04:00:00+02:00";"0.051"
"2026-03-05T04:15:00+02:00";"0.057"
"2026-03-05T04:30:00+02:00";"0.059"
"2026-03-05T04:45:00+02:00";"0.057"
"2026-03-05T05:00:00+02:00";"0.053"
"2026-03-05T05:15:00+02:00";"0.053"
"2026-03-05T05:30:00+02:00";"0.057"
"2026-03-05T05:45:00+02:00";"0.063"
"2026-03-05T06:00:00+02:00";"0.062"
"2026-03-05T06:15:00+02:00";"0.062"
"2026-03-05T06:30:00+02:00";"0.058"
"2026-03-05T06:45:00+02:00";"0.057"
"2026-03-05T07:00:00+02:00";"0.058"
"2026-03-05T07:15:00+02:00";"0.060"
"2026-03-05T07:30:00+02:00";"0.061"
"2026-03-05T07:45:00+02:00";"0.060"
"2026-03-05T08:00:00+02:00";"0.056"
"2026-03-05T08:15:00+02:00";"0.055"
"2026-03-05T08:30:00+02:00";"0.076"
"2026-03-05T08:45:00+02:00";"0.077"
"2026-03-05T09:00:00+02:00";"0.068"
"2026-03-05T09:15:00+02:00";"0.070"
"2026-03-05T09:30:00+02:00";"0.110"
"2026-03-05T09:45:00+02:00";"0.232"
"2026-03-05T10:00:00+02:00";"0.104"
"2026-03-05T10:15:00+02:00";"0.084"
"2026-03-05T10:30:00+02:00";"0.071"
"2026-03-05T10:45:00+02:00";"0.065"
"2026-03-05T11:00:00+02:00";"0.146"
"2026-03-05T11:15:00+02:00";"0.074"
"2026-03-05T11:30:00+02:00";"0.052"
"2026-03-05T11:45:00+02:00";"0.053"
"2026-03-05T12:00:00+02:00";"0.131"
"2026-03-05T12:15:00+02:00";"0.243"
"2026-03-05T12:30:00+02:00";"0.183"
"2026-03-05T12:45:00+02:00";"0.183"
"2026-03-05T13:00:00+02:00";"0.199"
"2026-03-05T13:15:00+02:00";"0.196"
"2026-03-05T13:30:00+02:00";"0.190"
"2026-03-05T13:45:00+02:00";"0.193"
"2026-03-05T14:00:00+02:00";"0.147"
"2026-03-05T14:15:00+02:00";"0.057"
"2026-03-05T14:30:00+02:00";"0.072"
"2026-03-05T14:45:00+02:00";"0.139"
"2026-03-05T15:00:00+02:00";"0.173"
"2026-03-05T15:15:00+02:00";"0.148"
"2026-03-05T15:30:00+02:00";"0.348"
"2026-03-05T15:45:00+02:00";"0.061"
"2026-03-05T16:00:00+02:00";"0.060"
"2026-03-05T16:15:00+02:00";"0.047"
"2026-03-05T16:30:00+02:00";"0.053"
"2026-03-05T16:45:00+02:00";"0.051"
"2026-03-05T17:00:00+02:00";"0.128"
"2026-03-05T17:15:00+02:00";"0.162"
"2026-03-05T17:30:00+02:00";"0.183"
"2026-03-05T17:45:00+02:00";"0.158"
"2026-03-05T18:00:00+02:00";"0.190"
"2026-03-05T18:15:00+02:00";"0.120"
"2026-03-05T18:30:00+02:00";"0.091"
"2026-03-05T18:45:00+02:00";"0.172"
"2026-03-05T19:00:00+02:00";"0.231"
"2026-03-05T19:15:00+02:00";"0.121"
"2026-03-05T19:30:00+02:00";"0.465"
"2026-03-05T19:45:00+02:00";"0.185"
"2026-03-05T20:00:00+02:00";"0.503"
"2026-03-05T20:15:00+02:00";"0.075"
"2026-03-05T20:30:00+02:00";"0.091"
"2026-03-05T20:45:00+02:00";"0.099"
"2026-03-05T21:00:00+02:00";"0.100"
"2026-03-05T21:15:00+02:00";"0.077"
"2026-03-05T21:30:00+02:00";"0.089"
"2026-03-05T21:45:00+02:00";"0.075"
"2026-03-05T22:00:00+02:00";"0.077"
"2026-03-05T22:15:00+02:00";"0.071"
"2026-03-05T22:30:00+02:00";"0.070"
"2026-03-05T22:45:00+02:00";"0.061"
"2026-03-05T23:00:00+02:00";"0.066"
"2026-03-05T23:15:00+02:00";"0.069"
"2026-03-05T23:30:00+02:00";"0.069"
"2026-03-05T23:45:00+02:00";"0.062"
"2026-03-06T00:00:00+02:00";"0.064"
"2026-03-06T00:15:00+02:00";"0.056"
"2026-03-06T00:30:00+02:00";"0.060"
"2026-03-06T00:45:00+02:00";"0.059"
"2026-03-06T01:00:00+02:00";"0.061"
"2026-03-06T01:15:00+02:00";"0.061"
"2026-03-06T01:30:00+02:00";"0.056"
"2026-03-06T01:45:00+02:00";"0.061"
"2026-03-06T02:00:00+02:00";"0.065"
"2026-03-06T02:15:00+02:00";"0.061"
"2026-03-06T02:30:00+02:00";"0.060"
"2026-03-06T02:45:00+02:00";"0.054"
"2026-03-06T03:00:00+02:00";"0.061"
"2026-03-06T03:15:00+02:00";"0.067"
"2026-03-06T03:30:00+02:00";"0.053"
"2026-03-06T03:45:00+02:00";"0.057"
"2026-03-06T04:00:00+02:00";"0.062"
"2026-03-06T04:15:00+02:00";"0.063"
"2026-03-06T04:30:00+02:00";"0.062"
"2026-03-06T04:45:00+02:00";"0.058"
"2026-03-06T05:00:00+02:00";"0.066"
"2026-03-06T05:15:00+02:00";"0.062"
"2026-03-06T05:30:00+02:00";"0.062"
"2026-03-06T05:45:00+02:00";"0.061"
"2026-03-06T06:00:00+02:00";"0.062"
"2026-03-06T06:15:00+02:00";"0.067"
"2026-03-06T06:30:00+02:00";"0.063"
"2026-03-06T06:45:00+02:00";"0.065"
"2026-03-06T07:00:00+02:00";"0.064"
"2026-03-06T07:15:00+02:00";"0.059"
"2026-03-06T07:30:00+02:00";"0.063"
"2026-03-06T07:45:00+02:00";"0.067"
"2026-03-06T08:00:00+02:00";"0.059"
"2026-03-06T08:15:00+02:00";"0.055"
"2026-03-06T08:30:00+02:00";"0.048"
"2026-03-06T08:45:00+02:00";"0.067"
"2026-03-06T09:00:00+02:00";"0.438"
"2026-03-06T09:15:00+02:00";"0.715"
"2026-03-06T09:30:00+02:00";"0.177"
"2026-03-06T09:45:00+02:00";"0.110"
"2026-03-06T10:00:00+02:00";"0.101"
"2026-03-06T10:15:00+02:00";"0.083"
"2026-03-06T10:30:00+02:00";"0.065"
"2026-03-06T10:45:00+02:00";"0.131"
"2026-03-06T11:00:00+02:00";"0.074"
"2026-03-06T11:15:00+02:00";"0.078"
"2026-03-06T11:30:00+02:00";"0.074"
"2026-03-06T11:45:00+02:00";"0.060"
"2026-03-06T12:00:00+02:00";"0.096"
"2026-03-06T12:15:00+02:00";"0.091"
"2026-03-06T12:30:00+02:00";"0.133"
"2026-03-06T12:45:00+02:00";"0.260"
"2026-03-06T13:00:00+02:00";"0.249"
"2026-03-06T13:15:00+02:00";"0.127"
"2026-03-06T13:30:00+02:00";"0.134"
"2026-03-06T13:45:00+02:00";"0.201"
"2026-03-06T14:00:00+02:00";"0.218"
"2026-03-06T14:15:00+02:00";"0.217"
"2026-03-06T14:30:00+02:00";"0.118"
"2026-03-06T14:45:00+02:00";"0.119"
"2026-03-06T15:00:00+02:00";"0.105"
"2026-03-06T15:15:00+02:00";"0.258"
"2026-03-06T15:30:00+02:00";"0.109"
"2026-03-06T15:45:00+02:00";"0.112"
"2026-03-06T16:00:00+02:00";"0.105"
"2026-03-06T16:15:00+02:00";"0.221"
"2026-03-06T16:30:00+02:00";"0.102"
"2026-03-06T16:45:00+02:00";"0.101"
"2026-03-06T17:00:00+02:00";"0.079"
"2026-03-06T17:15:00+02:00";"0.080"
"2026-03-06T17:30:00+02:00";"0.080"
"2026-03-06T17:45:00+02:00";"0.106"
"2026-03-06T18:00:00+02:00";"0.086"
"2026-03-06T18:15:00+02:00";"0.075"
"2026-03-06T18:30:00+02:00";"0.082"
"2026-03-06T18:45:00+02:00";"0.093"
"2026-03-06T19:00:00+02:00";"0.112"
"2026-03-06T19:15:00+02:00";"0.113"
"2026-03-06T19:30:00+02:00";"0.101"
"2026-03-06T19:45:00+02:00";"0.109"
"2026-03-06T20:00:00+02:00";"0.273"
"2026-03-06T20:15:00+02:00";"0.101"
"2026-03-06T20:30:00+02:00";"0.106"
"2026-03-06T20:45:00+02:00";"0.081"
"2026-03-06T21:00:00+02:00";"0.072"
"2026-03-06T21:15:00+02:00";"0.074"
"2026-03-06T21:30:00+02:00";"0.072"
"2026-03-06T21:45:00+02:00";"0.103"
"2026-03-06T22:00:00+02:00";"0.078"
"2026-03-06T22:15:00+02:00";"0.061"
"2026-03-06T22:30:00+02:00";"0.064"
"2026-03-06T22:45:00+02:00";"0.067"
"2026-03-06T23:00:00+02:00";"0.065"
"2026-03-06T23:15:00+02:00";"0.061"
"2026-03-06T23:30:00+02:00";"0.057"
"2026-03-06T23:45:00+02:00";"0.054"
"2026-03-07T00:00:00+02:00";"0.056"
"2026-03-07T00:15:00+02:00";"0.053"
"2026-03-07T00:30:00+02:00";"0.057"
"2026-03-07T00:45:00+02:00";"0.050"
"2026-03-07T01:00:00+02:00";"0.056"
